key,P1a-MCQ,P1a-J,P1a-Total,P1b-MCQ,P1b-J,P1b-Total,mcq-only,mcq-grade,j-only,j-grade,score,grade,j-effect
accused-lime,26,24,50,14,7,21,40,66.67,31,51.67,71.00,59.2,-7.5
awkward-dragonfruit,26,27,53,26,26,52,52,86.67,53,88.33,105.00,87.5,0.8
barren-banana,30,26,56,26,21,47,56,93.33,47,78.33,103.00,85.8,-7.5
bewildered-papaya,22,20,42,18,16,34,40,66.67,36,60.00,76.00,63.3,-3.3
carefree-raspberry,30,28,58,22,23,45,52,86.67,51,85.00,103.00,85.8,-0.8
confident-parsley,26,27,53,30,27,57,56,93.33,54,90.00,110.00,91.7,-1.7
convicted-kumquat,30,30,60,22,24,46,52,86.67,54,90.00,106.00,88.3,1.7
crushed-carrot,26,27,53,26,28,54,52,86.67,55,91.67,107.00,89.2,2.5
funny-lavender,30,28,58,30,28,58,60,100.00,56,93.33,116.00,96.7,-3.3
gentle-calabrese,26,24,50,30,21,51,56,93.33,45,75.00,101.00,84.2,-9.2
joyous-topinambur,26,27,53,30,27,57,56,93.33,54,90.00,110.00,91.7,-1.7
light-hearted-beet,26,27,53,26,22,48,52,86.67,49,81.67,101.00,84.2,-2.5
molested-arugula,26,24,50,26,22,48,52,86.67,46,76.67,98.00,81.7,-5.0
pessimistic-cilantro,26,23,49,14,12,26,40,66.67,35,58.33,75.00,62.5,-4.2
protected-huckleberry,18,21,39,14,15,29,32,53.33,36,60.00,68.00,56.7,3.3
renewed-anise,22,22,44,26,21,47,48,80.00,43,71.67,91.00,75.8,-4.2
stupid-tamarillo,30,30,60,26,27,53,56,93.33,57,95.00,113.00,94.2,0.8
tacky-tangerine,26,24,50,18,15,33,44,73.33,39,65.00,83.00,69.2,-4.2
tested-nectarine,30,30,60,30,29,59,60,100.00,59,98.33,119.00,99.2,-0.8
treasured-avocado,18,15,33,18,13,31,36,60.00,28,46.67,64.00,53.3,-6.7
